Materia;abstain;name;for;time;against;id;dispensed;Artículo;date;Trámite;Sesión;Tipo de votación;Quorum;Observaciones
Modifica la ley N° 19.175, en lo relativo a la estructura y funciones de los gobiernos regionales.;0;Boletín N°3203-06;47;21:02;48;4169;0;Incorporación de un número 19, nuevo, en el artículo 1º del proyecto.;8.3.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;47;Particular;Quorum Simple;
Modifica la ley N° 19.175, en lo relativo a la estructura y funciones de los gobiernos regionales.;0;Boletín N°3203-06;48;21:03;45;4170;0;Incorporación de un número 21, nuevo, en el artículo 1º del proyecto.;8.3.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;47;Particular;Quorum Simple;
Mociones, que modifican la ley N° 14.908, sobre abandono de familia y pago de pensiones alimenticias, con el objeto de establecer la comunicación al Boletín Comercial de los incumplimientos graves de deudas provenientes de aquéllas, penalizar el incumplimiento malicioso en el pago de las mismas y otorgar competencia a juez que indica para conocer sobre su aumento, disminución o cese.;0;Boletín N°2600-18;94;21:04;0;4171;0;Votación en general del proyecto, con excepción del artículo 1º, número 1, letra a), y del artículo 2º;8.3.2005;Primer Trámite Constitucional / Primer Informe;47;General;Quorum Simple;
mociones, que modifican la ley N° 14.908, sobre abandono de familia y pago de pensiones alimenticias, con el objeto de establecer la comunicación al Boletín Comercial de los incumplimientos graves de deudas provenientes de aquéllas, penalizar el incumplimiento malicioso en el pago de las mismas y otorgar competencia a juez que indica para conocer sobre su aumento, disminución o cese.;0;Boletín N°2600-18;87;21:05;0;4172;0;Artículo 1º, número 1, letra a), y artículo 2º.;8.3.2005;Primer Trámite Constitucional / Primer Informe;47;General;Ley Orgánica Constitucional;
Corrección de deficiencias de la ley N° 19.885, para fortalecer las donaciones privadas a las instituciones que sirven a las personas discapacitadas o de escasos recursos.;0;Proyecto de Acuerdo N°529;73;21:07;0;4173;0;;8.3.2005;;47;General y particular;;
Modificación de la normativa legal sobre realización de autopsias.;2;Proyecto de Acuerdo N°532;30;21:16;8;4174;0;;8.3.2005;;47;General y particular;;
Gestiones en relación con la extradición de Galvarino Apablaza desde Argentina.;1;Proyecto de Acuerdo N°533;37;21:21;0;4175;0;;8.3.2005;;47;General y particular;;
Modifica el Código de Aguas.;0;Boletín N°876-09;99;12:48;0;4176;0;;9.3.2005;Comisión Mixta / Primer Informe;48;Particular;Ley Orgánica Constitucional;
Fija normas sobre investigación científica en seres humanos, legisla sobre el genoma humano y prohíbe la clonación.;1;Boletín N°1993-11;37;12:56;62;4177;0;"Artículo 1º, con indicación renovada de los Diputados Tuma, Accorsi, Montes, Robles, Jarpa, Navarro y Palma, para suprimir la expresión ""desde el momento de la concepción"" y para sustituir los términos ""los seres humanos"" por ""las personas"".";9.3.2005;Segundo Trámite Constitucional / Segundo Informe;48;Particular;Quorum Simple;
Fija normas sobre investigación científica en seres humanos, legisla sobre el genoma humano y prohíbe la clonación.;1;Boletín N°1993-11;71;12:57;21;4178;0;1º.;9.3.2005;Segundo Trámite Constitucional / Segundo Informe;48;Particular;Quorum Simple;
Fija normas sobre investigación científica en seres humanos, legisla sobre el genoma humano y prohíbe la clonación.;0;Boletín N°1993-11;101;12:58;0;4179;0;3º, 5º, 6º, 9º, 10, 11, 12, 15, 17 y 20.;9.3.2005;Segundo Trámite Constitucional / Segundo Informe;48;Particular;Quorum Simple;
Creación de Comisión Especial que estudie la política antártica chilena.;4;Proyecto de Acuerdo N°534;62;13:07;15;4180;0;;9.3.2005;;48;General y particular;;
Crear Comisión Investigadora de las responsabilidades de funcionarios públicos y autoridades en los casos MOP-GATE, MOP-CIADE y MOP-IDECON.;0;Proyecto de Acuerdo N°536;50;13:19;53;4181;0;;9.3.2005;;48;General y particular;;
Limita la responsabilidad de los usuarios de tarjetas de crédito por operaciones realizadas con tarjetas extraviadas, hurtadas o robadas.;0;Boletín N°3129-03;53;11:51;0;4184;0;;10.3.2005;Tercer Trámite Constitucional /;49;Particular;Quorum Simple;
Informe de la Comisión Investigadora encargada de analizar las denuncias sobre los procesos de licitación de tratamiento de la basura.;1;Proyecto de Acuerdo N°317;49;11:52;0;4185;0;;10.3.2005;;49;General;;
Informe de la Comisión Especial encargada de analizar el cumplimiento y resultado de las distintas medidas administrativas que se aplican a favor de las zonas extremas del país en relación con el estudio de la situación que afecta al mercado aéreo en el país.;0;Proyecto de Acuerdo N°142;50;11:53;0;4186;0;;10.3.2005;;49;General;;
Modifica las leyes N° 18.556, sobre Sistema de Inscripciones Electorales y Servicios Electoral y N° 18.700, sobre Votaciones Populares y Escrutinios.;0;Boletín N°3803-06;96;13:33;0;4191;0;;15.3.2005;Primer Trámite Constitucional / Primer Informe;50;General;Ley Orgánica Constitucional;
Modifica las leyes N° 18.556, sobre Sistema de Inscripciones Electorales y Servicios Electoral y N° 18.700, sobre Votaciones Populares y Escrutinios.;0;Boletín N°3803-06;94;13:36;0;4192;0;Artículos 1º, 2º y 3º, con dos indicaciones del Presidente de la República al artículo 1º.;15.3.2005;Primer Trámite Constitucional / Primer Informe;50;Particular;Ley Orgánica Constitucional;
Solicita diversas medidas de protección de los cisnes de cuello negro del río Cruces, en Valdivia.;0;Proyecto de Acuerdo N°538;46;13:37;0;4193;0;;15.3.2005;;50;General y particular;;
Celebración de Convenio entre Chile y Argentina, que instituya el 2 de mayo de cada año como el Día de la Paz y de la Amistad entre chilenos y argentinos.;0;Proyecto de Acuerdo N°568;50;13:46;0;4194;0;;15.3.2005;;50;General y particular;;
Expresa preocupación por situación de jóvenes chilenos enjuiciados en Cusco, Perú.;0;Proyecto de Acuerdo N°558;41;13:54;0;4195;0;;15.3.2005;;50;General y particular;;
Sustituye el procedimiento laboral contemplado en el Libro V del Código del Trabajo.;0;Boletín N°3367-13;103;14:28;0;4197;0;Con excepción de las normas de quórum orgánico constitucional.;16.3.2005;Primer Trámite Constitucional / Primer Informe;51;General;Quorum Simple;
Sustituye el procedimiento laboral contemplado en el Libro V del Código del Trabajo.;1;Boletín N°3367-13;57;14:39;2;4199;0;"420 (contenido en el número 1 del artículo 1º); 436, 480, 513; 514, inciso tercero (contenidos en el número 2 del artículo 1º); 292, inciso tercero, (contenido en el número 5 del artículo 1º); 389, inciso tercero, (contenido en el número 7 del artículo 1º), y artículo 3º transitorio.";16.3.2005;Primer Trámite Constitucional / Primer Informe;51;General;Ley Orgánica Constitucional;
Modificación de la ley que moderniza la planta de personal de Gendarmería de Chile.;0;Proyecto de Acuerdo N°539;39;14:57;0;4203;0;;16.3.2005;;51;General y particular;;
Solicitar al Presidente de la República adopción de medidas en defensa  del mercado de granos.;2;Proyecto de Acuerdo N°574;53;18:47;0;4204;0;;16.3.2005;;52;General y particular;;
Solicitar al Presidente de la República medidas en defensa de la transparencia del mercado de los granos en Chile.;0;Proyecto de Acuerdo N°575;67;18:50;0;4205;0;;16.3.2005;;52;General y particular;;
Modifica normas del decreto con fuerza de ley N° 458, de 1975, ley General de Urbanismo y Construcciones, relativas a la calidad de la construcción.;0;Boletín N°3418-14;51;12:32;0;4207;0;Modificaciones del Senado, con excepción de la recaída en el número 3 del artículo único.;17.3.2005;Tercer Trámite Constitucional /;53;Particular;Quorum Simple;
Modifica normas del decreto con fuerza de ley N° 458, de 1975, ley General de Urbanismo y Construcciones, relativas a la calidad de la construcción.;4;Boletín N°3418-14;46;12:33;0;4208;0;Enmienda del Senado recaída en el número 3 del artículo único, por la que se sustituye el inciso final del artículo 20 del DFL Nº458.;17.3.2005;Tercer Trámite Constitucional /;53;Particular;Quorum Simple;
;0;;49;12:34;0;4209;0;;17.3.2005;;53;General y particular;Quorum Simple;
;0;;49;12:34;0;4210;0;;17.3.2005;;53;General y particular;Quorum Simple;
Solicitar a S.E. el Presidente de la República las medidas para la vigencia de la ley N° 18.348, que crea la CONAF pública, y la ley N° 18.362, que crea el sistema nacional de áreas silvestres protegidas.;0;Proyecto de Acuerdo N°540;45;12:42;0;4211;0;;17.3.2005;;53;General y particular;;
Modifica la ley N° 17.798, sobre control de armas estableciendo mayores exigencias para inscribir un arma, prohibiendo el porte de las mismas y realiza otras modificaciones.;5;Boletín N°2219-02;73;13:13;7;4218;0;;22.3.2005;Comisión Mixta / Primer Informe;54;Particular;Quorum Calificado;
Aprueba la Convención Interamericana sobre transparencia en las adquisiciones de armas convencionales y sus Anexos I y II, adoptados el 7 de junio de 1999 por la Asamblea General de la Organización de los Estados Americanos, en el vigésimo noveno período ordinario de sesiones, celebrado en la ciudad de Guatemala.;0;Boletín N°3651-10;85;13:14;2;4219;0;;22.3.2005;Primer Trámite Constitucional / Primer Informe;54;General y particular;Quorum Simple;
Aprueba el acuerdo entre el Gobierno de la República de Chile y la Organización de las Naciones Unidas, suscrito en Santiago el 19 de junio de 2003.;2;Boletín N°3624-10;46;13:15;38;4220;0;;22.3.2005;Primer Trámite Constitucional / Primer Informe;54;General y particular;Quorum Simple;
Establecer un procedimiento de discusión de las propuestas de modernización de la Cámara de Diputados.;0;Proyecto de Acuerdo N°541;82;13:17;0;4221;0;;22.3.2005;;54;General y particular;;
Constitución de Comisión Investigadora de los procedimientos técnicos utilizados para validar las declaraciones de menores de edad en casos de delitos sexuales cometidos en su contra.;0;Proyecto de Acuerdo N°543;65;13:24;0;4222;0;;22.3.2005;;54;General y particular;;
Aumento de las horas de Educación Física en la Enseñanza Básica y Media.;0;Proyecto de Acuerdo N°544;59;13:31;0;4223;0;;22.3.2005;;54;General y particular;;
Reforma constitucional que modifica la composición y atribuciones del Congreso Nacional, la aprobación de los tratados internacionales, la integración y funciones del Tribunal Constitucional y otras materias que indica.;0;Boletín N°2526-07;110;13:37;0;4226;0;Modificaciones recaídas en los capítulos I, III, VII, X, XI y XIV de la Constitución Política de la República.;23.3.2005;Segundo Trámite Constitucional / Primer Informe;55;General;Reforma Constitucional 2/3, se requiere la aprobación de los dos tercios de los señores Diputados en ejercicio;
Reforma constitucional que modifica la composición y atribuciones del Congreso Nacional, la aprobación de los tratados internacionales, la integración y funciones del Tribunal Constitucional y otras materias que indica.;0;Boletín N°2526-07;109;13:38;0;4227;0;Enmiendas a la Constitución Política que inciden en los capítulos II, IV, V, VI, VI-A, IX, XIII y disposiciones transitorias.;23.3.2005;Segundo Trámite Constitucional / Primer Informe;55;General;Reforma Constitucional 3/5, se requiere la aprobación de los tres quintos de los señores Diputados en ejercicio;
Establece un impuesto específico a la actividad minera.;8;Boletín N°3772-08;86;16:06;14;4228;0;;23.3.2005;Primer Trámite Constitucional / Primer Informe;56;General;Quorum Simple;
Establece un impuesto específico a la actividad minera.;7;Boletín N°3772-08;84;16:08;11;4229;0;Artículo 1º, con las indicaciones de la Comisión de Hacienda que figuran en el informe.;23.3.2005;Primer Trámite Constitucional / Primer Informe;56;Particular;Quorum Simple;
Establece un impuesto específico a la actividad minera.;6;Boletín N°3772-08;95;16:09;1;4230;0;Artículo 2º, con la indicación de la Comisión de Hacienda que figura en el informe.;23.3.2005;Primer Trámite Constitucional / Primer Informe;56;Particular;Quorum Simple;
Establece un impuesto específico a la actividad minera.;7;Boletín N°3772-08;81;16:09;12;4231;0;3º.;23.3.2005;Primer Trámite Constitucional / Primer Informe;56;Particular;Quorum Simple;
Establece un impuesto específico a la actividad minera.;5;Boletín N°3772-08;94;16:10;4;4232;0;1º a 7º transitorios.;23.3.2005;Primer Trámite Constitucional / Primer Informe;56;Particular;Quorum Simple;
Proyecto de acuerdo que aprueba el Convenio de Seguridad Social entre la República de Chile y la República de Colombia, suscrito en Santiago, el 9 de diciembre de 2003.;0;Boletín N°3741-10;77;12:19;0;4235;0;;5.4.2005;Primer Trámite Constitucional / Primer Informe;57;General;Quorum Calificado;
Proyecto de acuerdo que aprueba el convenio complementario al convenio de seguridad social entre la República de Chile y el Reino de España, suscrito el 14 de mayo de 2002.;0;Boletín N°3757-10;76;12:20;0;4236;0;;5.4.2005;Primer Trámite Constitucional / Primer Informe;57;General;Quorum Calificado;
Modifica la ley de Cuentas Corrientes Bancarias y Cheques.;0;Boletín N°3358-03;76;12:21;0;4237;0;;5.4.2005;Tercer Trámite Constitucional /;57;Particular;Quorum Simple;
Introduce modificaciones en la ley Nº 19.175, Orgánica Constitucional sobre Gobierno y Administración Regional.;0;Boletín N°3203-06;75;12:22;0;4238;0;;5.4.2005;Comisión Mixta / Primer Informe;57;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;34;20:30;39;4242;0;Modificación del Senado recaída en el artículo 1º, número 18, por la que se suprime el número 6 del inciso segundo del artículo 27 propuesto.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;1;Boletín N°2844-02;34;20:31;42;4243;0;Modificación del Senado recaída en el artículo 1º, número 19, por la que se suprime, en el inciso segundo del artículo 28 propuesto, la frase ¿salvo la del Nº7¿.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;38;20:32;40;4244;0;Modificación del Senado recaída en el artículo 1º, número 24, por la que se intercala, en el número 3 del inciso primero del artículo 30 F propuesto, a continuación de la palabra ¿especiales¿, la frase ¿de instrucción militar¿.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;36;20:36;43;4246;0;Modificación del Senado recaída en el artículo 1º, número 29, por la que se modifica el artículo 42 propuesto.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;38;20:37;42;4247;0;Modificación del Senado recaída en el artículo 1º, número 30, por la que se suprime, en el artículo 42 A propuesto, la palabra ¿especialmente¿.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;1;20:41;80;4248;0;Modificación del Senado recaída en el artículo 1º, número 30, por la que se rechaza el artículo 42 C propuesto.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;3;20:41;78;4249;0;Modificación del Senado recaída en el artículo 1º, número 30, por la que se rechaza el artículo 42 D propuesto.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Moderniza el Servicio Militar Obligatorio.;0;Boletín N°2844-02;81;20:44;0;4250;0;Enmiendas del Senado por las que se incorporan los artículos 3º y 4º, nuevos, y el artículo 5º transitorio, nuevo.;5.4.2005;Tercer Trámite Constitucional /;59;Particular;Quorum Simple;
Solicitar a S.E. el Presidente de la República el envío de los proyectos de ley que den cumplimiento a las obligaciones contenidas en el Convenio de la Organización Mundial de la Salud para el control del tabaco.;1;Proyecto de Acuerdo N°545;13;20:47;0;4251;0;;5.4.2005;;59;General y particular;;
Proyectos de acuerdo aprobatorios de los tratados internacionales bilaterales celebrados por la República de Chile con la República Dominicana y la República del Perú, sobre el libre ejercicio de actividades remuneradas para familiares dependientes del personal diplomático, consular, administrativo y técnico de misiones diplomáticas y oficinas consulares.;0;Boletín N°3755-10;74;13:22;0;4257;0;;6.4.2005;Primer Trámite Constitucional / Primer Informe;60;General y particular;Quorum Simple;
Proyectos de acuerdo aprobatorios de los tratados internacionales bilaterales celebrados por Chile con la República Socialista de Vietnam, con la República de las Islas Marshall, con el Gobierno de Mongolia y con la República de Estonia para suprimir o eximir del requisito de visa a los titulares o portadores de pasaportes diplomáticos, oficiales y/o especiales.;0;Boletín N°3747-10;79;13:23;0;4258;0;;6.4.2005;Primer Trámite Constitucional / Primer Informe;60;General y particular;Quorum Simple;
;0;;79;13:24;0;4259;0;;6.4.2005;;60;General;Quorum Simple;
;0;;78;13:25;0;4260;0;;6.4.2005;;60;General;Quorum Simple;
Constituir Comisión Especial sobre los logros y problemas en calidad y equidad de la educación en Chile.;0;Proyecto de Acuerdo N°546;42;13:27;32;4261;0;;6.4.2005;;60;General y particular;;
Medidas para minimizar el alza en el precio de los combustibles.;0;Proyecto de Acuerdo N°606;77;13:30;0;4262;0;;6.4.2005;;60;General y particular;;
Diversas medidas en materia de control y evaluación del uso de la franquicia Sence.;0;Proyecto de Acuerdo N°608;64;17:32;0;4267;0;;6.4.2005;;61;General y particular;;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;0;Boletín N°3806-08;104;15:02;0;4270;0;;12.4.2005;Primer Trámite Constitucional / Primer Informe;62;General;Quorum Simple;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;2;Boletín N°3806-08;29;15:03;67;4271;0;Indicación del diputado señor Bertolino, para trasladar, como nuevo artículo 3º bis transitorio, el artículo 99 ter, contenido en el número 6 del artículo 1º del proyecto.;12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Simple;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;2;Boletín N°3806-08;59;15:04;45;4272;0;"Indicación de S.E. el Presidente de la República para agregar el siguiente artículo 3º, nuevo:  ¿Artículo 3º.- Los importadores de gas natural en cualquier estado físico, deberán diversificar los aprovisionamientos de gas, de modo tal que la suma a nivel nacional de las importaciones provenientes de un mismo país de origen no sea superior a una proporción equivalente al 85%, conforme el procedimiento que señale el reglamento.   La obligación del inciso anterior será exigible para todos los contratos que se celebren desde la entrada en vigencia de este artículo, con la excepción de los contratos que permitan al importador mantener los volúmenes de gas natural que tenía contratado a la misma fecha.  La obligación señalada en el inciso primero de este artículo podrá cumplirse a nivel regional, considerando para estos efectos el gas natural extraído en la respectiva región.""";12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Calificado;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;0;Boletín N°3806-08;106;15:05;0;4273;0;Indicación de S.E. el Presidente de la República para incorporar en la letra a) del artículo 1° transitorio, a continuación de la palabra ¿mencionado¿ y antes del punto y aparte, la expresión ¿en el artículo 7° transitorio¿.;12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Simple;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;4;Boletín N°3806-08;17;15:06;69;4274;0;Indicación del Diputado señor Bertolino, para agregar, en el artículo 1º transitorio, la siguiente letra c), nueva:  ¿c) A los clientes no sometidos a regulación de precios que hayan suscrito contratos con anterioridad al 1 de abril de 2004 no les será aplicable lo establecido en el artículo 2º de esta ley.¿;12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Simple;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;0;Boletín N°3806-08;103;15:07;0;4275;0;"Indicación de S.E. el Presidente de la República para sustituir el artículo 4º transitorio por el siguiente:  ¿Artículo 4º transitorio.- En el plazo de quince días a contar de la entrada en vigencia de esta ley, el Ministerio de Economía Fomento y Reconstrucción, previo informe de la Comisión Nacional de Energía, mediante decreto expedido bajo la fórmula ¿por orden del Presidente de la República¿, ajustará los precios de nudo vigentes, de manera de aplicar en su determinación la Banda de Precios de Mercado de acuerdo con lo dispuesto en el artículo 101 ter del D.F.L. Nº1 de 1982, del Ministerio de Minería, y fijará como precios de nudo los valores resultantes. Este ajuste se efectuará considerando exclusivamente los antecedentes que se tuvieron en cuenta en la fijación de los precios de nudo vigentes.""";12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Simple;
Introduce modificaciones al marco normativo que rige al sector eléctrico.;0;Boletín N°3806-08;103;15:07;0;4276;0;(BLOB);12.4.2005;Primer Trámite Constitucional / Primer Informe;62;Particular;Quorum Simple;
Solicitar incorporación de la depresión como enfermedad profesional.;0;Proyecto de Acuerdo N°548;20;15:09;1;4277;0;;12.4.2005;;62;General y particular;;
Medidas en relación con la actuación de Villa Baviera.;2;Proyecto de Acuerdo N°620;77;18:36;0;4280;0;;12.4.2005;;63;General y particular;;
Modifica los Códigos Procesal Penal y Penal en diversas materias relativas al funcionamiento de la reforma procesal penal.;0;Boletín N°3465-07;94;22:27;0;4281;0;Con excepción del artículo 5º (LOC).;12.4.2005;Segundo Trámite Constitucional / Primer Informe;64;General;Quorum Simple;
Modifica los Códigos Procesal Penal y Penal en diversas materias relativas al funcionamiento de la reforma procesal penal.;0;Boletín N°3465-07;82;22:27;8;4282;0;5º.;12.4.2005;Segundo Trámite Constitucional / Primer Informe;64;General;Ley Orgánica Constitucional;
Crea un bono extraordinario para  los sectores de menores ingresos.;1;Boletín N°3837-05;91;22:40;0;4283;0;;12.4.2005;Primer Trámite Constitucional / Primer Informe;64;General;Quorum Simple;
;0;;31;18:17;28;4285;0;;13.4.2005;;65;General;Quorum Simple;
Clausura del debate en el proyecto de ley que establece un mecanismo transitorio para compensar los menores ingresos municipales producidos con ocasión de una nueva determinación de los coeficientes anuales de distribución del fondo común municipal.;0;Boletín N°3830-05;50;20:05;4;4286;0;;13.4.2005;Primer Trámite Constitucional /;65;General;Quorum Simple;
Crea sociedades anónimas deportivas profesionales.;0;Boletín N°3019-03;78;20:34;0;4287;0;;13.4.2005;Comisión Mixta / Primer Informe;65;Particular;Quorum Calificado;
Establece un mecanismo transitorio para compensar los menores ingresos municipales producidos con ocasión de una nueva determinación de los coeficientes anuales de distribución del fondo común municipal.;0;Boletín N°3830-05;76;20:35;0;4288;0;;13.4.2005;Primer Trámite Constitucional / Primer Informe;65;General;Quorum Simple;
Modifica la ley Nº18.933, sobre Instituciones de Salud Previsional.;4;Boletín N°2981-11;77;13:24;18;4290;0;Modificaciones introducidas por el Senado, con excepción de las recaídas en los números 1, 3, 7, 8, 13, 16 y 18 del artículo 1º (numeración correspondiente al texto aprobado por la Cámara de Diputados), cuya votación separada fue solicitada.;19.4.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;66;Particular;Quorum Simple;
Modifica la ley Nº18.933, sobre Instituciones de Salud Previsional.;1;Boletín N°2981-11;68;13:25;34;4291;0;Enmiendas al número 1 del artículo 1º, por las que se modifica el artículo 2º de la ley de Isapres.;19.4.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;66;Particular;Quorum Simple;
Modifica la ley Nº18.933, sobre Instituciones de Salud Previsional.;1;Boletín N°2981-11;65;13:26;34;4292;0;Enmienda al número 3 del artículo 1º, por la que se reemplaza el inciso primero del artículo 22 de la ley de Isapres.;19.4.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;66;Particular;Quorum Simple;
Modifica la ley Nº18.933, sobre Instituciones de Salud Previsional.;2;Boletín N°2981-11;65;13:26;34;4293;0;Enmiendas al número 7 del artículo 1º, por las que se modifica el artículo 33 de la ley de Isapres.;19.4.2005;Tercer Trámite Constitucional / Informe enmiendas del Senado;66;Particular;Quorum Simple;
